Confirmed list of securities to be auctioned in A 2025120 to be held on Jun 26 2025.

Sr No,Symbol,Series,Total Qty
1,3IINFOLTD,EQ,5
2,AAVAS,EQ,10
3,ABMINTLLTD,EQ,800
4,AEROENTER,EQ,3
5,AFSL,EQ,1
6,ALOKINDS,EQ,500
7,AMBER,EQ,2
8,ANDHRSUGAR,EQ,545
9,ANUP,EQ,8
10,ARIHANTCAP,EQ,1
11,ARISINFRA,EQ,20
12,ASHAPURMIN,EQ,500
13,ASKAUTOLTD,EQ,5
14,ASTEC,EQ,39
15,ASTERDM,EQ,100
16,ATHERENERG,EQ,1
17,AUBANK,EQ,219
18,AVTNPL,EQ,1
19,BAJAJCON,EQ,2347
20,BAJAJHFL,EQ,150
21,BALAMINES,EQ,327
22,BALPHARMA,EQ,1521
23,BANKBARODA,EQ,1
24,BBTC,EQ,70
25,BCLIND,EQ,100
26,BEL,EQ,100
27,BEPL,EQ,1104
28,BIL,EQ,10
29,BIRDYS,SM,1200
30,BIRLAMONEY,EQ,27
31,BLISSGVS,EQ,1
32,BSE,EQ,1
33,BSOFT,EQ,2
34,CDSL,EQ,225
35,CGCL,EQ,1002
36,CUMMINSIND,EQ,50
37,DBREALTY,EQ,1
38,DCW,EQ,14
39,DCXINDIA,EQ,6
40,DECCANCE,EQ,1
41,DEEPAKNTR,EQ,100
42,DHAMPURSUG,EQ,10
43,DIACABS,EQ,11
44,DIXON,EQ,1
45,DOLPHIN,EQ,220
46,EIDPARRY,EQ,221
47,EMBDL,EQ,500
48,ENGINERSIN,EQ,100
49,ENIL,EQ,4
50,ETERNAL,EQ,2003
51,EXICOM,EQ,500
52,EXIDEIND,EQ,152
53,FINOPB,EQ,100
54,FUSION,EQ,250
55,GLOBALVECT,EQ,6879
56,GMRAIRPORT,EQ,2
57,GNFC,EQ,200
58,GODREJPROP,EQ,20
59,GOKULAGRO,EQ,11
60,GRASIM,EQ,5
61,GRSE,EQ,2
62,GSLSU,EQ,3
63,HCLTECH,EQ,1
64,HEXT,EQ,350
65,HFCL,EQ,100
66,HINDALCO,EQ,15
67,HINDPETRO,EQ,120
68,HITECH,EQ,752
69,HUBTOWN,EQ,1
70,HUDCO,EQ,11
71,HYUNDAI,EQ,250
72,IDEA,EQ,5
73,IDEAFORGE,EQ,30
74,IFCI,EQ,2500
75,IMAGICAA,EQ,1
76,INDIACEM,EQ,355
77,INDIAMART,EQ,100
78,INDIFRA,SM,6000
79,INDUSINDBK,EQ,1890
80,INOXWIND,EQ,180
81,IOLCP,EQ,75
82,IRCON,EQ,100
83,ITC,EQ,20
84,ITCHOTELS,EQ,5
85,JAIBALAJI,EQ,100
86,JIOFIN,EQ,116
87,JMFINANCIL,EQ,5
88,JOCIL,EQ,6
89,JPPOWER,EQ,1000
90,KALYANKJIL,EQ,10
91,KAYNES,EQ,1
92,KELLTONTEC,EQ,50
93,KFINTECH,EQ,339
94,KIRLOSBROS,EQ,70
95,KITEX,EQ,6119
96,KNRCON,EQ,52
97,KOLTEPATIL,EQ,1
98,KRN,EQ,1
99,KRONOX,EQ,50
100,LIQUIDBEES,EQ,3
101,M&M,EQ,31
102,MAHSEAMLES,EQ,7
103,MANAKSTEEL,EQ,216
104,MANINFRA,EQ,50
105,MAZDOCK,EQ,20
106,MCX,EQ,23
107,MOLDTECH,EQ,11
108,MOTILALOFS,EQ,2
109,MSPL,EQ,100
110,MTNL,EQ,1825
111,MUTHOOTFIN,EQ,1
112,NAGREEKCAP,EQ,67
113,NAUKRI,EQ,3
114,NAVKARCORP,EQ,597
115,NCLIND,EQ,263
116,NETWORK18,EQ,1
117,NH,EQ,25
118,NKIND,EQ,251
119,NORTHARC,EQ,9
120,OLAELEC,EQ,1
121,ORIENTELEC,EQ,50
122,OSIAHYPER,EQ,801
123,OSWALPUMPS,EQ,24
124,PAGEIND,EQ,7
125,PCBL,EQ,10
126,PDMJEPAPER,EQ,364
127,PHOENIXLTD,EQ,467
