Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.995*D*D + 0.005*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
26-JUN-2025,20MICRONS,230.36,231.62,-0.0055,0.0321,0.0320,0.6114
26-JUN-2025,21STCENMGM,61.22,62.45,-0.0199,0.0186,0.0187,0.3573
26-JUN-2025,360ONE,1164.85,1190.00,-0.0214,0.0266,0.0266,0.5082
26-JUN-2025,3IINFOLTD,25.52,25.81,-0.0113,0.0302,0.0301,0.5751
26-JUN-2025,3MINDIA,28605.00,28500.00,0.0037,0.0169,0.0169,0.3229
26-JUN-2025,3PLAND,50.64,50.45,0.0038,0.0371,0.0370,0.7069
26-JUN-2025,500009,36.19,35.52,0.0187,0.0326,0.0325,0.6209
26-JUN-2025,500012,55.15,54.86,0.0053,0.0258,0.0258,0.4929
26-JUN-2025,500014,4.81,4.82,-0.0021,0.0283,0.0282,0.5388
26-JUN-2025,500016,9.27,9.38,-0.0118,0.0342,0.0342,0.6534
26-JUN-2025,500028,38.43,39.01,-0.0150,0.0349,0.0348,0.6649
26-JUN-2025,500058,15.61,16.02,-0.0259,0.0320,0.0320,0.6114
26-JUN-2025,500068,14054.40,13850.00,0.0147,0.0174,0.0173,0.3305
26-JUN-2025,500069,381.00,387.50,-0.0169,0.0292,0.0291,0.5560
26-JUN-2025,500123,12293.50,11930.70,0.0300,0.0241,0.0241,0.4604
26-JUN-2025,500142,10.19,9.74,0.0452,0.0413,0.0413,0.7890
26-JUN-2025,500143,190.60,188.15,0.0129,0.0345,0.0344,0.6572
26-JUN-2025,500147,3471.75,3484.20,-0.0036,0.0355,0.0354,0.6763
26-JUN-2025,500159,134.05,132.00,0.0154,0.0249,0.0248,0.4738
26-JUN-2025,500166,210.35,205.65,0.0226,0.0274,0.0274,0.5235
26-JUN-2025,500168,943.25,938.35,0.0052,0.0132,0.0132,0.2522
26-JUN-2025,500170,26.25,26.52,-0.0102,0.0316,0.0315,0.6018
26-JUN-2025,500192,2.22,2.28,-0.0267,0.0297,0.0296,0.5655
26-JUN-2025,500202,9.77,10.28,-0.0509,0.0430,0.0431,0.8234
26-JUN-2025,500206,80.00,81.25,-0.0155,0.0343,0.0343,0.6553
26-JUN-2025,500213,509.65,511.65,-0.0039,0.0283,0.0283,0.5407
26-JUN-2025,500220,202.60,200.35,0.0112,0.0342,0.0341,0.6515
26-JUN-2025,500239,17.27,17.49,-0.0127,0.0313,0.0313,0.5980
26-JUN-2025,500240,249.40,254.25,-0.0193,0.0316,0.0315,0.6018
26-JUN-2025,500245,584.15,595.95,-0.0200,0.0242,0.0242,0.4623
26-JUN-2025,500246,88.60,89.00,-0.0045,0.0445,0.0444,0.8483
26-JUN-2025,500248,6.15,6.15,0.0000,0.0289,0.0288,0.5502
26-JUN-2025,500264,126.30,126.15,0.0012,0.0318,0.0317,0.6056
26-JUN-2025,500267,309.00,308.00,0.0032,0.0287,0.0286,0.5464
26-JUN-2025,500270,161.10,165.05,-0.0242,0.0277,0.0277,0.5292
26-JUN-2025,500277,7.70,7.95,-0.0320,0.0378,0.0378,0.7222
26-JUN-2025,500285,41.15,41.88,-0.0176,0.0345,0.0345,0.6591
26-JUN-2025,500298,1001.45,1011.65,-0.0101,0.0341,0.0340,0.6496
26-JUN-2025,500306,151.45,151.75,-0.0020,0.0371,0.0370,0.7069
26-JUN-2025,500307,505.60,505.80,-0.0004,0.0127,0.0127,0.2426
26-JUN-2025,500319,112.97,114.71,-0.0153,0.0342,0.0342,0.6534
26-JUN-2025,500322,162.00,169.40,-0.0447,0.0328,0.0329,0.6286
26-JUN-2025,500346,58.00,58.65,-0.0111,0.0348,0.0347,0.6629
26-JUN-2025,500357,14.15,13.50,0.0470,0.0308,0.0309,0.5903
26-JUN-2025,500360,75.00,72.20,0.0380,0.0352,0.0352,0.6725
26-JUN-2025,500365,34.98,35.40,-0.0119,0.0313,0.0312,0.5961
26-JUN-2025,500370,48.12,47.04,0.0227,0.0395,0.0395,0.7546
26-JUN-2025,500388,47.89,47.95,-0.0013,0.0322,0.0322,0.6152
26-JUN-2025,500389,11.55,11.74,-0.0163,0.0257,0.0256,0.4891
26-JUN-2025,500414,238.45,251.00,-0.0513,0.0345,0.0346,0.6610
26-JUN-2025,500421,16.91,16.23,0.0410,0.0301,0.0302,0.5770
26-JUN-2025,500422,39.48,39.09,0.0099,0.0384,0.0383,0.7317
26-JUN-2025,500426,2.77,2.80,-0.0108,0.0294,0.0293,0.5598
26-JUN-2025,500449,36.51,35.80,0.0196,0.0361,0.0361,0.6897
26-JUN-2025,500450,500.00,500.00,0.0000,0.0295,0.0295,0.5636
26-JUN-2025,500458,31.16,30.70,0.0149,0.0334,0.0333,0.6362
26-JUN-2025,500672,1010.85,1021.15,-0.0101,0.0202,0.0202,0.3859
26-JUN-2025,501110,7.15,7.15,0.0000,0.0008,0.0008,0.0153
26-JUN-2025,501111,11.57,11.57,0.0000,0.0024,0.0024,0.0459
26-JUN-2025,501148,404.20,396.30,0.0197,0.0159,0.0159,0.3038
26-JUN-2025,501261,453.45,453.45,0.0000,0.0090,0.0089,0.1700
26-JUN-2025,501270,1.34,1.34,0.0000,0.0012,0.0012,0.0229
26-JUN-2025,501298,6790.00,6767.00,0.0034,0.0273,0.0272,0.5197
26-JUN-2025,501311,13.20,13.20,0.0000,0.0294,0.0293,0.5598
26-JUN-2025,501314,0.74,0.77,-0.0397,0.0420,0.0420,0.8024
26-JUN-2025,501351,84.68,84.68,0.0000,0.0273,0.0272,0.5197
26-JUN-2025,501370,146.00,141.00,0.0348,0.0362,0.0362,0.6916
26-JUN-2025,501386,11.73,11.73,0.0000,0.0119,0.0119,0.2273
26-JUN-2025,501391,967.00,982.50,-0.0159,0.0369,0.0368,0.7031
26-JUN-2025,501421,3820.50,3843.45,-0.0060,0.0351,0.0350,0.6687
26-JUN-2025,501430,1994.00,1900.35,0.0481,0.0326,0.0327,0.6247
26-JUN-2025,501477,341.65,316.75,0.0757,0.0329,0.0333,0.6362
26-JUN-2025,501479,11.02,11.02,0.0000,0.0000,0.0000,0.0000
26-JUN-2025,501622,55.38,55.39,-0.0002,0.0280,0.0280,0.5349
26-JUN-2025,501630,24.48,24.48,0.0000,0.0029,0.0028,0.0535
26-JUN-2025,501700,9.97,10.14,-0.0169,0.0300,0.0299,0.5712
26-JUN-2025,501833,24.69,25.20,-0.0204,0.0365,0.0364,0.6954
26-JUN-2025,501848,89.86,89.60,0.0029,0.0355,0.0354,0.6763
26-JUN-2025,501945,5.34,5.34,0.0000,0.0129,0.0129,0.2465
26-JUN-2025,502015,34.53,33.07,0.0432,0.0380,0.0380,0.7260
26-JUN-2025,502133,68.70,67.90,0.0117,0.0266,0.0266,0.5082
26-JUN-2025,502250,327.00,327.00,0.0000,0.0326,0.0325,0.6209
26-JUN-2025,502281,13.94,13.89,0.0036,0.0313,0.0312,0.5961
26-JUN-2025,502294,39.85,39.54,0.0078,0.0407,0.0406,0.7757
26-JUN-2025,502445,58.45,53.26,0.0930,0.0358,0.0363,0.6935
26-JUN-2025,502587,86.44,84.28,0.0253,0.0274,0.0274,0.5235
26-JUN-2025,502589,141.85,141.85,0.0000,0.0333,0.0332,0.6343
26-JUN-2025,502850,13.65,13.65,0.0000,0.0054,0.0054,0.1032
26-JUN-2025,502865,434.20,431.45,0.0064,0.0319,0.0318,0.6075
26-JUN-2025,502873,109.85,105.00,0.0452,0.0322,0.0323,0.6171
26-JUN-2025,502893,93.62,93.30,0.0034,0.0430,0.0429,0.8196
26-JUN-2025,502901,123.81,121.06,0.0225,0.0309,0.0309,0.5903
26-JUN-2025,502933,155.95,165.00,-0.0564,0.0306,0.0307,0.5865
26-JUN-2025,502958,9166.75,9158.25,0.0009,0.0264,0.0263,0.5025
26-JUN-2025,503092,34.79,35.01,-0.0063,0.0460,0.0459,0.8769
26-JUN-2025,503127,4980.00,4990.00,-0.0020,0.0302,0.0302,0.5770
26-JUN-2025,503229,186.95,183.65,0.0178,0.0383,0.0382,0.7298
26-JUN-2025,503349,6600.00,6634.05,-0.0051,0.0317,0.0316,0.6037
26-JUN-2025,503622,7.71,7.71,0.0000,0.0033,0.0033,0.0630
26-JUN-2025,503624,9.14,8.95,0.0210,0.0374,0.0374,0.7145
26-JUN-2025,503626,10.50,10.50,0.0000,0.0000,0.0000,0.0000
26-JUN-2025,503635,14.58,14.58,0.0000,0.0036,0.0036,0.0688
26-JUN-2025,503639,9.55,9.55,0.0000,0.0101,0.0101,0.1930
26-JUN-2025,503641,10.67,10.75,-0.0075,0.0264,0.0263,0.5025
26-JUN-2025,503657,17.84,17.95,-0.0061,0.0350,0.0349,0.6668
26-JUN-2025,503659,86.00,86.00,0.0000,0.0308,0.0308,0.5884
26-JUN-2025,503663,3.20,3.22,-0.0062,0.0338,0.0338,0.6457
26-JUN-2025,503671,4.55,4.55,0.0000,0.0000,0.0000,0.0000
26-JUN-2025,503675,1.19,1.21,-0.0167,0.0340,0.0340,0.6496
26-JUN-2025,503681,129532.70,128717.50,0.0063,0.5243,0.5230,9.9919
26-JUN-2025,503685,22.58,23.12,-0.0236,0.0380,0.0379,0.7241
26-JUN-2025,503689,3.20,3.20,0.0000,0.0000,0.0000,0.0000
26-JUN-2025,503696,55.00,55.00,0.0000,0.0000,0.0000,0.0000
26-JUN-2025,503772,56.70,56.70,0.0000,0.0295,0.0295,0.5636
26-JUN-2025,503776,44.78,44.79,-0.0002,0.0367,0.0366,0.6992
26-JUN-2025,503804,324.50,329.95,-0.0167,0.0196,0.0195,0.3725
26-JUN-2025,503816,66.64,65.34,0.0197,0.0332,0.0332,0.6343
26-JUN-2025,503837,12.96,13.97,-0.0750,0.0350,0.0353,0.6744
26-JUN-2025,503863,12.33,12.33,0.0000,0.0274,0.0273,0.5216
26-JUN-2025,504000,109.96,113.82,-0.0345,0.0331,0.0331,0.6324
26-JUN-2025,504028,185.80,182.90,0.0157,0.0290,0.0289,0.5521
26-JUN-2025,504076,113.00,113.10,-0.0009,0.0368,0.0367,0.7012
26-JUN-2025,504080,1546.00,1546.00,0.0000,0.0383,0.0382,0.7298
26-JUN-2025,504084,1471.65,1468.45,0.0022,0.1536,0.1532,2.9269
26-JUN-2025,504092,256.10,244.65,0.0457,0.0324,0.0325,0.6209
26-JUN-2025,504093,393.35,395.00,-0.0042,0.0243,0.0243,0.4643
26-JUN-2025,504132,939.85,969.55,-0.0311,0.0323,0.0323,0.6171
26-JUN-2025,504176,830.35,790.85,0.0487,0.0330,0.0331,0.6324
26-JUN-2025,504180,65.09,64.89,0.0031,0.0286,0.0285,0.5445
26-JUN-2025,504240,717.25,708.25,0.0126,0.0337,0.0336,0.6419
26-JUN-2025,504258,1024.85,1026.40,-0.0015,0.0296,0.0295,0.5636
26-JUN-2025,504273,24.47,23.78,0.0286,0.0296,0.0296,0.5655
26-JUN-2025,504340,5.37,5.37,0.0000,0.0173,0.0173,0.3305
26-JUN-2025,504346,1945.00,1906.90,0.0198,0.0184,0.0184,0.3515
