"Disclaimer - The Data provided in the adjusted 52 week high and adjusted 52 week low columns  are adjusted for corporate actions (bonus, splits & rights).For actual (unadjusted) 52 week high & low prices, kindly refer bhavcopy."
"Effective for 26-Jun-2025"
"SYMBOL","SERIES","Adjusted 52_Week_High","52_Week_High_Date","Adjusted 52_Week_Low","52_Week_Low_DT"
"20MICRONS","EQ","    348.00","22-AUG-2024","    158.20","12-FEB-2025"
"21STCENMGM","EQ","    141.40","11-SEP-2024","     61.50","20-MAR-2025"
"360ONE","EQ","   1318.00","06-JAN-2025","    790.50","07-APR-2025"
"3IINFOLTD","EQ","     42.59","08-JUL-2024","     20.22","07-APR-2025"
"3MINDIA","EQ","  40856.50","02-JUL-2024","  25718.15","03-MAR-2025"
"3PLAND","EQ","     82.06","18-DEC-2024","     30.91","25-JUN-2024"
"5PAISA","EQ","    607.05","16-OCT-2024","    311.65","17-MAR-2025"
"63MOONS","EQ","   1078.80","20-DEC-2024","    316.00","23-JUL-2024"
"A2ZINFRA","BE","     26.80","03-JAN-2025","     12.35","11-APR-2025"
"AAATECH","EQ","    160.85","19-SEP-2024","     66.00","18-MAR-2025"
"AADHARHFC","EQ","    516.80","24-SEP-2024","    346.05","28-JAN-2025"
"AAKASH","BE","     17.15","04-JUL-2024","      7.06","03-JUN-2025"
"AAREYDRUGS","BE","     74.80","05-SEP-2024","     31.35","18-MAR-2025"
"AARON","EQ","    430.00","28-MAY-2025","    251.05","08-OCT-2024"
"AARTECH","EQ","    105.39","08-JAN-2025","     49.75","02-APR-2025"
"AARTIDRUGS","EQ","    635.00","27-AUG-2024","    312.00","07-APR-2025"
"AARTIIND","EQ","    765.50","08-AUG-2024","    344.20","07-APR-2025"
"AARTIPHARM","EQ","    949.50","05-JUN-2025","    551.05","23-JUL-2024"
"AARTISURF","BE","    918.00","18-SEP-2024","    396.00","07-APR-2025"
"AARVI","EQ","    168.00","17-OCT-2024","     88.00","07-APR-2025"
"AAVAS","EQ","   2234.00","22-APR-2025","   1603.30","08-AUG-2024"
"ABAN","EQ","     91.50","21-AUG-2024","     35.32","27-MAR-2025"
"ABB","EQ","   8940.60","16-OCT-2024","   4684.45","07-APR-2025"
"ABBOTINDIA","EQ","  32200.00","06-JUN-2025","  25325.00","29-JAN-2025"
"ABCAPITAL","EQ","    274.30","24-JUN-2025","    149.01","17-FEB-2025"
"ABDL","EQ","    454.80","10-JUN-2025","    279.00","07-APR-2025"
"ABFRL","EQ","    364.40","27-SEP-2024","     70.55","13-JUN-2025"
"ABGSEC","EQ","    120.00","10-JUL-2024","     99.66","23-JUL-2024"
"ABGSECINAV","EQ","-","-","-","-"
"ABINFRA","BE","    157.99","25-JUN-2025","     61.65","18-FEB-2025"
"ABLBL","BE","    175.00","23-JUN-2025","    152.05","25-JUN-2025"
"ABMINTLLTD","EQ","    110.62","31-OCT-2024","     40.93","28-MAR-2025"
"ABREL","EQ","   3140.00","21-OCT-2024","   1638.00","28-FEB-2025"
"ABSLAMC","EQ","    911.85","02-DEC-2024","    556.45","07-APR-2025"
"ABSLBAINAV","EQ","-","-","-","-"
"ABSLBANETF","EQ","     59.43","10-JUN-2025","     47.55","18-MAR-2025"
"ABSLLIQUID","EQ","   1030.00","17-JAN-2025","    990.00","01-NOV-2024"
"ABSLLQINAV","EQ","-","-","-","-"
"ABSLNN50ET","EQ","     82.05","21-NOV-2024","     58.37","03-MAR-2025"
"ABSLNNINAV","EQ","-","-","-","-"
"ABSLPSE","EQ","     11.82","01-AUG-2024","      8.00","07-APR-2025"
"ABSPSEINAV","EQ","-","-","-","-"
"ACC","EQ","   2844.00","02-JUL-2024","   1778.45","03-MAR-2025"
"ACCELYA","EQ","   1980.00","12-JUL-2024","   1218.50","07-APR-2025"
"ACCURACY","EQ","     13.90","15-JUL-2024","      6.51","08-APR-2025"
"ACE","EQ","   1603.00","03-JUL-2024","    917.45","03-MAR-2025"
"ACEINTEG","EQ","     44.34","30-JUL-2024","     20.00","19-FEB-2025"
"ACI","EQ","    832.00","22-AUG-2024","    408.35","17-FEB-2025"
"ACL","EQ","    103.85","24-JUL-2024","     48.15","28-MAR-2025"
"ACLGATI","EQ","    119.85","26-SEP-2024","     52.01","07-APR-2025"
"ACMESOLAR","EQ","    292.40","04-DEC-2024","    167.75","28-JAN-2025"
"ACUTAAS","EQ","   2644.00","05-FEB-2025","   1040.50","28-APR-2025"
"ADANIENSOL","EQ","   1348.00","01-AUG-2024","    588.00","27-NOV-2024"
"ADANIENT","EQ","   3258.00","01-AUG-2024","   2025.00","22-NOV-2024"
"ADANIGREEN","EQ","   2091.00","26-SEP-2024","    758.00","03-MAR-2025"
"ADANIPORTS","EQ","   1604.95","01-AUG-2024","    995.65","21-NOV-2024"
"ADANIPOWER","EQ","    752.90","01-AUG-2024","    432.00","21-NOV-2024"
"ADFFOODS","EQ","    353.95","16-DEC-2024","    209.11","23-JUL-2024"
"ADL","BE","    146.60","12-SEP-2024","     62.00","10-MAR-2025"
"ADOR","EQ","   1489.00","11-JUL-2024","    788.00","07-APR-2025"
"ADROITINFO","EQ","     30.40","12-NOV-2024","     10.16","07-MAY-2025"
"ADSL","EQ","    319.90","05-SEP-2024","    158.05","07-APR-2025"
"ADVANIHOTR","EQ","     86.99","01-AUG-2024","     52.29","04-MAR-2025"
"ADVENZYMES","EQ","    571.00","16-SEP-2024","    257.90","03-MAR-2025"
"AEGISLOG","EQ","   1037.00","08-JAN-2025","    609.85","28-JAN-2025"
"AEGISVOPAK","EQ","    268.50","04-JUN-2025","    220.00","02-JUN-2025"
"AEROENTER","EQ","    151.50","14-OCT-2024","     72.14","07-APR-2025"
"AEROFLEX","EQ","    272.00","06-FEB-2025","    144.25","23-JUL-2024"
"AETHER","EQ","   1071.00","10-SEP-2024","    725.00","21-MAY-2025"
"AFCONS","EQ","    570.00","03-JAN-2025","    398.00","07-APR-2025"
"AFFLE","EQ","   1985.00","10-JUN-2025","   1246.00","07-APR-2025"
"AFFORDABLE","EQ","    788.50","23-OCT-2024","    350.00","09-MAY-2025"
"AFIL","EQ","     13.40","27-JUN-2024","      6.42","01-APR-2025"
"AFSL","EQ","    625.00","22-AUG-2024","    165.49","03-FEB-2025"
"AGARIND","EQ","   1380.00","20-DEC-2024","    837.30","03-MAR-2025"
"AGARWALEYE","EQ","    464.00","13-FEB-2025","    327.00","30-MAY-2025"
"AGI","EQ","   1307.90","20-DEC-2024","    599.10","03-MAR-2025"
"AGIIL","EQ","   1019.90","25-JUN-2025","    328.53","09-AUG-2024"
"AGRITECH","EQ","    309.15","25-JUL-2024","    117.50","07-APR-2025"
"AGROPHOS","EQ","     52.75","05-JUL-2024","     27.20","03-MAR-2025"
