
SYMBOL,SERIES,DESCRIPTION,ISIN                                                                                                                        
0MOFSL26,N1,SEC RE NCD SR II,INE338I07156                                                                                                             
0MOFSL27,N3,SEC RE NCD SR IV,INE338I07099                                                                                                             
0NHIT34,N0,NHIT 0% 34 SR I STRPP A,INE0H7R07066                                                                                                       
0NHIT35,N0,NHIT 0% 35 SR I STRPP B,INE0H7R07058                                                                                                       
0RL34,N0,REC LTD 0% 2034 SR 239,INE020B08FJ3                                                                                                          
0SCL26,YR,SEC RE NCD SR III,INE148I07SF0                                                                                                              
0SCL27,YW,SEC RE NCD SR VI,INE148I07SK0                                                                                                               
1003IIFL29,NC,SEC RE NCD 10.03% SR V,INE413U07301                                                                                                     
1003ISFL28,N4,SEC RE NCD 10.03% SR 5,INE413U07269                                                                                                     
1003SCFL31,Z4,SEC RE NCD 10.03% SR X,INE148I07SX3                                                                                                     
1003SCL30,BW,SEC RE NCD 10.00% SR IX,INE148I07PN0                                                                                                     
1003SCL30A,NV,SEC RE NCD 10.03% SR X,INE148I07QX7                                                                                                     
1003SCL31,ZQ,SEC RE NCD 10.03% SR X,INE148I07TW3                                                                                                      
1003SCL31A,N1,SEC RE NCD 10.03% SR X,INE148I07UR1                                                                                                     
1003SCL31P,N1,SCL 10.03% 2031 SR X,INE148I07VA5                                                                                                       
1003SCL32,N1,SCL 10.03% SR X,INE148I07WM8                                                                                                             
1003SFIL28,NX,SEC RE NCD 10.50% SR.VII,INE244L07556                                                                                                   
1010CLIX25,N1,CLIX CAP SER 10.10% 2025,INE157D07EG0                                                                                                   
10157PCP27,N0,PCPL 10.157% 2027,INE389Z07054                                                                                                          
1015CLIX25,N0,CLIX CAP SER 10.15% 2025,INE157D07EF2                                                                                                   
1015ECL29,NR,SEC RED NCD 10.15% SR. VI,INE804IA7014                                                                                                   
1015SCFL29,YY,SEC RE NCD 10.15% SR VII,INE148I07SS3                                                                                                   
1015SCL28,NR,SEC RE NCD 10.15% SR VII,INE148I07QR9                                                                                                    
1015SCL28A,AL,SEC RE NCD 10.15% SR.VII,INE148I07OH5                                                                                                   
1015SCL28B,AZ,SEC RE NCD 10.15% SR VII,INE148I07OW4                                                                                                   
1015SCL29,ZL,SEC RE NCD 10.15% SR VII,INE148I07TR3                                                                                                    
1015SCL29B,N1,SEC RE NCD 10.15% SR VII,INE148I07UK6                                                                                                   
1015SCL29T,N1,SCL 10.15% 2029 SR VII,INE148I07VO6                                                                                                     
1015SCL30,N1,SCL 10.15% SR VII,INE148I07WT3                                                                                                           
1015UCL26,N1,SEC RE NCD 10.15% SR I,INE583D07505                                                                                                      
1015UCL27,NF,UCL 10.15% SR III,INE583D07604                                                                                                           
1018GS2026,GS,GOI LOAN 10.18% 2026,IN0020010081                                                                                                       
1020CCSP27,N0,CCSP 10.20% 2027 SR 02,INE157D07EJ4                                                                                                     
1025IIFL30,Y3,IIFL 10.25% TR I SR IX,INE530B07492                                                                                                     
1025NFL25,N5,SEC RE NCD 10.25% SR.II,INE342T07379                                                                                                     
1025SCFL34,Z5,SEC RE NCD 10.25% SR XI,INE148I07SV7                                                                                                    
1025SCL33,YJ,SEC RE NCD 10.25% SR XI,INE148I07RV9                                                                                                     
1025SCL33A,N1,SEC RE NCD 10.25% SR XI,INE148I07PP5                                                                                                    
1025SCL34,Z8,SEC RE NCD 10.25% SR XII,INE148I07SQ7                                                                                                    
1025SCL34A,ZT,SEC RE NCD 10.25% SR XII,INE148I07TN2                                                                                                   
1025SCL34B,N1,SEC RE NCD 10.25% SR XII,INE148I07UV3                                                                                                   
1025SCL34C,N1,SEC RE NCD 10.25% SR XI,INE148I07UT7                                                                                                    
1025SCL34U,N1,SCL 10.25% 2034 SR XI,INE148I07VM0                                                                                                      
1025SCL34Z,N1,SCL 10.25% 2034 SR XII,INE148I07VI8                                                                                                     
1025SCL35,N1,SCL 10.25% SR XI,INE148I07WS5                                                                                                            
1025SCL35A,N1,SCL 10.25% SR XII,INE148I07VZ2                                                                                                          
1025SFIL26,NT,SEC RE NCD 10.25% SR.IV,INE244L07507                                                                                                    
1025UCL25,N8,SEC RE NCD 10.25% SR I,INE583D07414                                                                                                      
1025UCL26A,N1,SEC RE NCD 10.25% SR II,INE583D07521                                                                                                    
1025UCL27A,NG,UCL 10.25% SR IV,INE583D07588                                                                                                           
102CCSP27A,N0,CCSP 10.20% 2027 SR 03,INE157D07EK2                                                                                                     
1030SFIL26,NJ,SEC RE NCD SR.V,INE244L07309                                                                                                            
1030SFIL28,NM,SEC RE NCD 10.30% SR.VII,INE244L07283                                                                                                   
1035CCSP26,N2,CCSPL 10.35% 2026,INE157D07EH8                                                                                                          
1035CCSP27,N3,CCSPL 10.35% 2027,INE157D07EI6                                                                                                          
1035UCL26,NA,SEC RE NCD 10.35% SR III,INE583D07448                                                                                                    
