,26-Jun-2025
The Nifty witnessed an intraday movement of about 305.4 points.The closing index was 1.21 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 118579.67
, Traded Quantity (in Lakhs), 44604.74
, Number of Trades, 34221161
, Total Market Capitalisation (Rs. Crores), 45516258.62

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     25244.75,     25268.95,     25565.30,     25259.90,     25549.00,304.25
,NIFTY50 EQL Wgt,     31667.10,     31710.45,     32022.15,     31688.15,     32009.75,342.65
,NIFTY100 EQL Wgt,     32770.65,     32839.45,     33113.05,     32777.60,     33094.35,323.7
,NIFTY100 LowVol30,     19997.15,     20013.40,     20152.60,     19977.30,     20141.65,144.5
,NIFTY Alpha 50,     53316.15,     53445.90,     53487.85,     53156.45,     53380.35,64.2
,NIFTY MIDCAP 150,     21640.65,     21704.30,     21761.65,     21600.80,     21753.15,112.5
,NIFTY SMLCAP 50,      9043.05,      9079.80,      9087.90,      9004.15,      9073.15,30.1
,NIFTY SMLCAP 250,     17455.60,     17526.50,     17546.65,     17393.25,     17500.50,44.9
,NIFTY MIDSML 400,     20156.55,     20223.85,     20249.25,     20107.10,     20242.45,85.9
,NIFTY200 QUALTY30,     20812.30,     20840.25,     20920.75,     20777.20,     20910.90,98.6
,Nifty FinSrv25 50,     28949.10,     28999.75,     29415.85,     28957.75,     29391.75,442.65
,NIFTY AlphaLowVol,     27003.05,     27008.60,     27174.75,     26929.25,     27152.15,149.1
,Nifty200Momentm30,     31732.15,     31793.70,     31910.85,     31548.20,     31899.35,167.2
,Nifty100ESGSecLdr,      4217.70,      4223.75,      4273.35,      4220.60,      4270.50,52.8
,NIFTY100 ESG,      4948.95,      4957.55,      5005.75,      4953.90,      5003.25,54.3
,NIFTY M150 QLTY50,     24669.75,     24724.25,     24758.05,     24584.60,     24747.50,77.75
,NIFTY INDIA MFG,     14338.40,     14370.45,     14458.55,     14327.45,     14447.80,109.4
,Nifty200 Alpha 30,     25476.60,     25540.20,     25743.05,     25414.65,     25728.80,252.2
,NiftyM150Momntm50,     63379.40,     63603.80,     63627.15,     63128.25,     63587.85,208.45
,Nifty IT,     39046.30,     38996.65,     39103.35,     38760.15,     38996.25,-50.05
,Nifty Next 50,     67669.40,     67879.45,     68346.70,     67621.35,     68295.15,625.75
,Nifty Bank,     56621.15,     56693.55,     57263.45,     56558.35,     57206.70,585.55
,NIFTY MIDCAP 100,     58881.70,     59049.35,     59255.05,     58735.25,     59227.40,345.7
,Nifty 500,     23296.85,     23341.20,     23529.65,     23319.85,     23517.55,220.7
,Nifty 100,     25822.35,     25856.60,     26137.00,     25849.45,     26121.10,298.75
,Nifty Midcap 50,     16634.25,     16679.90,     16753.45,     16590.75,     16745.05,110.8
,Nifty Realty,      1019.70,      1021.25,      1022.45,       999.35,      1009.55,-10.15
,Nifty Infra,      9205.50,      9220.05,      9364.90,      9218.45,      9355.80,150.3
,Nifty Energy,     35820.55,     35885.60,     36208.90,     35873.60,     36179.10,358.55
,Nifty FMCG,     54747.25,     54882.80,     55165.90,     54709.20,     55118.80,371.55
,Nifty MNC,     28497.80,     28565.30,     28719.85,     28519.95,     28697.65,199.85
,Nifty Pharma,     21804.80,     21835.90,     21860.80,     21665.35,     21808.20,3.4
,Nifty PSE,      9872.80,      9902.75,     10014.35,      9899.85,     10004.95,132.15
,Nifty PSU Bank,      6952.95,      6973.45,      6990.20,      6889.60,      6982.65,29.7
,Nifty Serv Sector,     33340.85,     33371.85,     33799.45,     33355.75,     33774.40,433.55
,India VIX,12.9625,12.9625,13.3300,12.5150,12.5900,-0.3725
,Nifty Auto,     23827.80,     23883.10,     23979.25,     23768.90,     23961.70,133.9
,Nifty Metal,      9329.20,      9360.45,      9554.90,      9354.35,      9544.55,215.35
,Nifty Media,      1763.15,      1769.75,      1770.85,      1739.10,      1743.85,-19.3
,NIFTY SMLCAP 100,     18727.85,     18807.05,     18823.55,     18679.75,     18805.60,77.75
,Nifty 200,     14074.10,     14096.40,     14231.30,     14090.65,     14223.30,149.2
,Nifty Div Opps 50,      6053.75,      6058.60,      6103.15,      6046.60,      6100.10,46.35
,Nifty Commodities,      8753.60,      8768.80,      8918.30,      8766.00,      8907.85,154.25
,Nifty Consumption,     11758.75,     11787.80,     11860.35,     11752.70,     11855.45,96.7
,Nifty Fin Service,     26851.20,     26882.35,     27278.90,     26848.05,     27248.40,397.2
,Nifty50 Div Point,        82.90,        82.90,        82.90,        82.90,        82.90,0
,Nifty100 Liq 15,      7074.50,      7087.95,      7179.70,      7086.05,      7175.50,101
,Nifty CPSE,      6532.30,      6553.45,      6601.00,      6530.15,      6593.85,61.55
,Nifty GrowSect 15,     11515.20,     11527.90,     11546.05,     11434.10,     11520.85,5.65
,Nifty50 PR 2x Lev,     14153.25,     14178.30,     14509.95,     14168.65,     14492.30,339.05
,Nifty50 PR 1x Inv,       202.00,       201.85,       201.90,       199.50,       199.60,-2.4
,Nifty50 TR 2x Lev,     20900.90,     20937.90,     21427.65,     20923.70,     21401.60,500.7
,Nifty50 TR 1x Inv,       166.40,       166.25,       166.30,       164.30,       164.40,-2
,Nifty50 Value 20,     12892.00,     12890.85,     12969.50,     12860.45,     12959.15,67.15
,Nifty Mid Liq 15,     15596.35,     15620.35,     15636.40,     15498.30,     15624.55,28.2
,Nifty Pvt Bank,     28126.45,     28166.70,     28444.10,     28078.15,     28417.00,290.55
,NIFTY100 Qualty30,      5634.70,      5641.35,      5662.30,      5623.05,      5659.25,24.55
,Nifty GS 8 13Yr,      2932.01,      2932.55,      2935.86,      2931.54,      2933.86,1.85
,Nifty GS 10Yr,      2599.89,      2600.34,      2605.11,      2598.88,      2603.70,3.81
,Nifty GS 10Yr Cln,       917.09,       917.09,       918.79,       916.57,       918.28,1.19
,Nifty GS 4 8Yr,      3157.65,      3158.24,      3159.71,      3158.14,      3159.71,2.06
,Nifty GS 11 15Yr,      3220.48,      3221.08,      3222.62,      3218.31,      3220.72,.24
,Nifty GS 15YrPlus,      3469.16,      3469.83,      3469.83,      3466.51,      3466.63,-2.53
,Nifty GS Compsite,      3015.84,      3016.40,      3018.32,      3015.40,      3016.64,.8
,NIFTY HEALTHCARE,     14256.00,     14288.30,     14323.80,     14217.55,     14310.15,54.15
,NIFTY CONSR DURBL,     37988.75,     38050.25,     38371.65,     37976.85,     38320.70,331.95
,NIFTY OIL AND GAS,     11482.40,     11497.55,     11713.45,     11495.85,     11695.90,213.5
,NIFTY500 MULTICAP,     16275.70,     16315.60,     16406.50,     16272.40,     16399.20,123.5
,NIFTY LARGEMID250,     16341.90,     16377.15,     16485.00,     16346.20,     16477.50,135.6
,NIFTY MID SELECT,     13221.30,     13256.30,     13315.80,     13190.90,     13305.10,83.8
,NIFTY TOTAL MKT,     13110.95,     13137.40,     13237.15,     13122.15,     13230.55,119.6
,NIFTY MICROCAP250,     23859.65,     23976.20,     24051.50,     23794.75,     23867.90,8.25
,NIFTY IND DIGITAL,      9184.75,      9204.95,      9243.65,      9149.25,      9237.50,52.75
,Nifty Tata 25 Cap,     15635.85,     15653.10,     15768.75,     15587.10,     15757.35,121.5
,Nifty MidSml Hlth,     42513.30,     42749.00,     42912.00,     42631.80,     42856.40,343.1
,Nifty Multi Mfg,     15062.55,     15101.10,     15183.75,     15051.75,     15173.40,110.85
,Nifty Multi Infra,     14267.35,     14305.10,     14453.20,     14301.85,     14443.85,176.5
,BHARATBOND-APR30,      1527.79,      1528.09,      1528.09,      1527.94,      1527.94,.15
,BHARATBOND-APR31,      1394.97,      1395.23,      1395.45,      1395.18,      1395.45,.48
,BHARATBOND-APR32,      1272.07,      1272.32,      1272.32,      1272.31,      1272.31,.24
,BHARATBOND-APR33,      1236.30,      1236.54,      1236.54,      1236.53,      1236.53,.23
,Nifty Ind Defence,      8681.15,      8726.85,      8806.90,      8660.05,      8713.35,32.2
,Nifty Ind Tourism,      9180.00,      9221.40,      9237.70,      9146.85,      9228.95,48.95
,Nifty Capital Mkt,      4655.15,      4662.55,      4683.00,      4615.70,      4673.30,18.15
,Nifty500Momentm50,     55140.40,     55283.00,     55297.95,     54792.05,     55253.20,112.8
,NiftyMS400 MQ 100,     50760.70,     50872.05,     50926.50,     50582.40,     50896.90,136.2
,NiftySml250MQ 100,     47937.05,     48129.30,     48205.85,     47872.45,     48149.10,212.05
,Nifty Top 10 EW,      9876.55,      9882.05,     10000.95,      9874.00,      9993.25,116.7
,Nifty AQL 30,     22394.35,     22422.10,     22499.25,     22326.15,     22482.30,87.95
,Nifty AQLV 30,     20593.65,     20609.75,     20713.15,     20553.85,     20702.05,108.4
,Nifty EV,      2918.90,      2926.55,      2931.50,      2907.70,      2928.95,10.05
,Nifty HighBeta 50,      3786.00,      3798.85,      3827.75,      3776.35,      3825.20,39.2
,Nifty New Consump,     11783.25,     11814.75,     11845.80,     11747.95,     11839.75,56.5
,Nifty Corp MAATR,     36803.95,     36864.85,     37296.20,     36823.10,     37266.80,462.85
,Nifty Low Vol 50,     25191.60,     25211.90,     25379.05,     25150.80,     25362.30,170.7
,Nifty Mobility,     20636.55,     20696.55,     20879.95,     20675.25,     20869.95,233.4
,Nifty Qlty LV 30,     17196.85,     17207.90,     17282.70,     17143.10,     17268.35,71.5
,Nifty Sml250 Q50,     27796.25,     27899.15,     27950.80,     27730.35,     27857.55,61.3
,Nifty Top 15 EW,     10371.60,     10384.70,     10472.15,     10375.55,     10465.25,93.65
,Nifty100 Alpha 30,     18355.45,     18403.05,     18603.90,     18367.55,     18592.15,236.7
,Nifty100 Enh ESG,      4987.40,      4996.05,      5044.60,      4992.40,      5042.05,54.65
,Nifty200 Value 30,     12935.65,     12964.60,     13175.90,     12947.15,     13162.50,226.85
,Nifty500 EW,     14405.05,     14456.40,     14472.95,     14371.90,     14462.75,57.7
,Nifty Multi MQ 50,     43461.40,     43548.50,     43595.70,     43311.75,     43517.55,56.15
,Nifty500 Value 50,     14024.50,     14059.20,     14243.55,     14037.00,     14230.35,205.85
,Nifty Top 20 EW,      9222.90,      9234.35,      9306.20,      9225.15,      9300.85,77.95
,Nifty CoreHousing,     16082.70,     16108.40,     16224.90,     16069.65,     16213.30,130.6
,Nifty FinSerExBnk,     30305.25,     30391.65,     30805.60,     30317.55,     30787.70,482.45
,Nifty Housing,     11411.65,     11433.05,     11560.90,     11425.95,     11550.55,138.9
