SYMBOL,SYMBOL P/E,ADJUSTED P/E
THERMAX,65.47,65.47
WHEELS,17.80,17.80
RIIL,150.21,150.21
PREMIERPOL,20.96,20.96
RAYMOND,15.45,15.45
SHREDIGCEM,45.54,45.54
SESHAPAPER,18.54,18.54
SMLISUZU,22.29,22.29
SUNDRMFAST,38.27,38.27
FACT,1628.98,4041.08
EXIDEIND,40.99,40.99
ELECON,35.24,35.24
CRISIL,63.49,63.49
LMW,168.42,168.42
PEL,73.23,
NELCO,258.21,258.21
MASTEK,20.64,20.90
MAHSCOOTER,74.35,99.50
LUMAXIND,47.13,47.13
TRENT,150.37,150.37
KECL,251.59,
CUMMINSIND,53.08,53.08
KCP,10.45,9.49
JAYBARMARU,27.05,27.05
JBCHEPHARM,42.52,42.52
INFY,25.08,25.08
INDIAGLYCO,33.77,33.77
IONEXCHANG,37.70,37.70
IFBIND,46.78,46.78
IGPL,13.04,13.04
HIMATSEIDE,24.93,10.20
GNFC,13.91,13.91
BPCL,11.54,11.28
BHARATFORG,66.48,60.48
BASF,45.22,46.81
FORCEMOT,22.61,33.25
ATUL,44.43,44.43
ARVIND,25.20,25.20
ACC,14.50,15.02
TATAMOTORS,10.80,10.58
SCI,12.82,12.82
MRPL,881.48,881.48
LINDEINDIA,125.78,125.78
HINDPETRO,12.67,12.67
ESCORTS,31.53,31.49
RELINFRA,1.89,2.19
BAJAJHLDNG,309.01,309.01
ASHOKLEY,21.43,21.55
VOLTAS,45.17,45.17
TITAN,97.18,97.18
TATASTEEL,65.45,56.29
SUNDARMFIN,30.21,30.21
SPIC,14.67,14.67
VEDL,8.42,9.28
SBIN,9.04,9.04
RELIANCE,24.58,24.58
PFIZER,33.21,40.15
NOCIL,30.77,30.77
BOSCHLTD,46.53,46.55
DRREDDY,19.63,19.63
BATAINDIA,47.23,67.05
DEEPAKFERT,21.47,21.47
CHAMBLFERT,14.79,14.79
CARBORUNIV,73.46,94.46
MAHSEAMLES,12.48,12.48
HINDOILEXP,15.41,15.41
DICIND,30.58,31.50
COROMANDEL,32.93,37.94
BALMLAWRIE,18.66,18.66
VINDHYATEL,23.77,23.77
MOTOGENFIN,123.48,123.48
ASIANPAINT,61.27,57.23
RAMCOCEM,91.90,380.92
PGHL,39.01,37.68
ABREL,,917.62
BEML,63.32,63.32
ADOR,32.09,28.55
CENTENKA,16.62,16.62
TATACHEM,119.73,71.66
TORNTPHARM,57.15,56.63
VTL,16.82,16.82
SUNDROP,,87.32
FEDERALBNK,12.31,12.31
EPL,21.20,21.01
VLSFINANCE,18.30,18.30
SUPREMEIND,66.65,66.65
SRF,73.01,73.01
BIRLACABLE,112.85,112.85
BALRAMCHIN,29.99,29.99
AEGISLOG,35.49,35.49
WEIZMANIND,22.55,22.55
UNICHEMLAB,28.07,28.07
BBOX,42.03,32.28
HONAUT,65.46,65.46
JTEKTINDIA,47.64,47.99
SAURASHCEM,139.85,
RANEHOLDIN,12.20,115.45
PRECOT,14.31,14.31
TATAELXSI,49.72,49.72
SUNPHARMA,36.48,34.88
KOHINOOR,0.37,
SHREYANIND,6.34,6.34
SANDESH,11.28,11.36
HCC,20.89,
APOLLOHOSP,68.78,68.78
ARE&M,18.79,20.44
ADANIENT,59.80,68.72
IVP,16.21,16.21
BALKRISIND,28.03,28.03
INDBANK,17.84,17.84
EICHERMOT,37.90,37.90
RAJSREESUG,20.05,20.05
GVT&D,100.82,100.82
NEULANDLAB,59.29,77.32
ONGC,7.95,7.93
ZENSARTECH,29.80,29.80
TIL,887.02,887.02
TAINWALCHM,42.99,42.99
BERGEPAINT,57.73,57.73
BANARISUG,46.77,46.77
JINDALPOLY,9.90,16.77
ANIKINDS,100.42,100.42
KPIL,37.03,37.03
JYOTISTRUC,63.62,63.62
IGARASHI,62.70,62.70
BLUEDART,59.14,59.14
JAYNECOIND,34.42,34.42
MUNJALSHOW,17.98,17.98
APCOTEXIND,37.46,37.46
SOTL,25.64,25.64
HSCL,40.27,40.27
RCF,36.09,36.50
RANASUG,6.12,6.12
KARURVYSYA,10.28,10.28
DECCANCE,166.58,166.58
ARENTERP,62.14,62.14
UFLEX,30.92,9.52
TATAPOWER,32.34,31.26
ADVANIHOTR,21.33,21.33
THOMASCOOK,30.45,29.76
SUNFLAG,32.44,32.44
SUBROS,41.72,41.72
SPMLINFRA,38.11,38.11
SIMPLEXINF,198.14,
SIEMENS,43.40,43.40
BHARATRAS,33.47,33.47
WIPRO,21.41,21.41
VSTIND,17.01,23.75
JUBLPHARMA,22.54,38.68
UNIVCABLES,54.70,54.70
TATACOMM,31.04,49.67
TOKYOPLAST,99.01,99.01
SOMANYCERA,39.49,38.67
MURUDCERA,26.34,26.34
IFCI,49.22,48.85
HLVLTD,34.25,35.35
SANOFI,37.01,34.68
M&M,31.90,31.90
LIBERTSHOE,50.89,45.95
KAJARIACER,53.36,53.36
KABRAEXTRU,31.53,40.21
HEIDELBERG,42.99,42.99
MODTHREAD,46.05,46.05
MANGLMCEM,45.48,45.48
PRSMJOHNSN,294.91,
POLYPLEX,10.92,10.92
PIDILITIND,72.83,72.19
PCBL,35.93,35.90
3PLAND,43.44,43.44
OSWALAGRO,11.52,11.52
EIHAHOTELS,25.00,24.12
HONDAPOWER,37.34,37.34
JINDALSAW,10.76,10.76
SAIL,28.10,22.13
RUBYMILLS,18.69,18.69
STYRENIX,24.10,24.10
ABB,67.45,67.45
IDBI,13.39,13.39
GRAPHITE,23.82,23.82
CANFINHOME,12.18,12.18
BRITANNIA,62.82,62.30
BBL,26.67,26.67
ELECTCAST,11.62,11.62
DHAMPURSUG,19.53,19.53
DCMSHRIRAM,30.98,30.98
DABUR,48.96,48.96
COSMOFIRST,22.78,22.78
CIPLA,23.05,23.05
HEROMOTOCO,18.96,18.96
HDFCBANK,21.03,20.76
HARRMALAYA,26.55,26.55
GMBREW,12.96,12.96
GIPCL,15.39,15.39
ITC,25.95,25.95
INDIANHUME,3.99,23.51
HINDCOMPOS,20.31,15.03
IOC,16.67,19.62
OSWALGREEN,141.35,141.35
HUHTAMAKI,18.73,27.89
RICOAUTO,48.63,46.76
KAMATHOTEL,14.68,15.27
IFBAGRO,31.86,31.86
BANCOINDIA,21.82,21.82
MANINDS,17.31,17.31
APOLLOTYRE,25.56,23.04
SIYSIL,15.97,15.97
SHANTIGEAR,39.99,39.99
PRECWIRE,37.09,37.09
ONWARDTEC,27.70,27.70
NILKAMAL,25.89,25.89
NCC,16.63,16.63
ICIL,23.39,23.39
SEAMECLTD,24.31,26.84
ELGIEQUIP,49.04,49.04
AUROPHARMA,18.51,18.51
BBTC,6.55,6.52
EIHOTEL,31.96,31.03
LICHSGFIN,6.17,6.17
GICHSGFIN,6.53,6.18
BEPL,16.10,16.10
BANARBEADS,27.41,27.41
MOREPENLAB,29.20,29.20
WSTCSTPAPR,10.04,10.04
21STCENMGM,5.31,5.31
VENKEYS,19.48,19.48
GHCL,9.37,9.37
PRUDMOULI,23.53,23.53
PRAJIND,42.01,46.74
BIRLANU,,913.84
BPL,4763.06,6.40
TRANSWORLD,18.01,13.12
KEEPLEARN,162.54,162.54
PGHH,61.08,61.08
VESUVIUS,43.93,43.93
TFCILTD,20.49,20.49
BOMDYEING,6.54,171.97
NAVNETEDUL,4.03,18.06
GUJALKALI,274.35,274.35
AGI,16.39,16.39
GLAXO,59.52,59.73
TATACONSUM,80.76,80.69
ZEEL,20.47,18.35
CHOLAFIN,31.76,31.76
INDHOTEL,56.75,65.29
FMGOETZE,17.75,17.75
KOTAKBANK,19.92,22.91
LYKALABS,51.85,51.85
ORIENTHOT,63.71,63.71
JAYSREETEA,4.08,8.40
GILLETTE,64.01,64.01
GOLDENTOBC,8.90,10.10
KANSAINER,17.76,32.67
FOSECOIND,42.40,42.40
ESABINDIA,45.19,45.19
3MINDIA,67.44,67.44
ANDHRAPAP,18.63,18.63
GABRIEL,37.37,37.37
SCHAEFFLER,65.43,65.43
AARTIIND,72.57,73.56
RALLIS,49.73,49.99
AMJLAND,12.81,12.81
PRAKASH,8.21,8.21
MFSL,138.60,138.60
KSB,59.86,59.86
KOPRAN,23.02,23.02
HEG,97.65,97.65
GODFRYPHLP,49.05,46.89
VARDMNPOLY,36.65,36.65
SURYAROSNI,21.57,21.57
TATAINVEST,164.37,164.37
TIMKEN,56.97,56.97
SUDARSCHEM,81.39,118.66
SHREECEM,93.35,93.35
SAKHTISUG,3.75,7.91
IPCALAB,43.74,40.53
INGERRAND,44.73,44.73
