MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,AH,990SCL26D,SEC RE NCD 9.90% SR.IV,       331.00,       380.00,       380.00,       380.00,       380.00,                      760.00,2, ,1,       888.00,       330.00
N,AO,920SCL23A,SEC RE NCD 9.25% SR I,      1080.80,      1080.80,      1080.80,      1080.80,      1080.80,                     1080.80,1, ,1,      1135.00,       950.00
N,AT,SCLZC25B,SEC RE NCD SR III,      1186.55,      1193.35,      1193.35,      1193.35,      1193.35,                    10740.15,9, ,1,      1193.35,       960.00
N,BS,925SCL28C,SEC RE NCD 10.15% SR VII,       898.00,       930.00,       930.00,       930.00,       930.00,                     5580.00,6, ,1,      1025.13,       831.90
N,N0,0RL34,REC LTD 0% 2034 SR 239,     82000.00,     85000.00,     85000.00,     85000.00,     85000.00,                   170000.00,2, ,2,     85000.00,     80000.00
N,N0,930APMD35,APMD 9.30% 2035 STRPP I,    103500.00,    100300.00,    103300.00,    100300.00,    103300.00,                   203600.00,2, ,2,    104500.00,    100300.00
N,N0,935TSIIC33,TSIIC 9.35% 2033 SR 1- G,    103222.00,    103245.00,    103245.00,    103245.00,    103245.00,                  1548675.00,15, ,1,    105778.60,    103067.00
N,N0,IMC1,SEC RE NCGB 8.25% STRPP A,       259.00,       251.10,       251.10,       251.05,       251.07,                    10294.05,41, ,2,       261.00,       220.00
N,N1,1025UCL26A,SEC RE NCD 10.25% SR II,      1000.00,      1000.00,      1000.00,      1000.00,      1000.00,                     1000.00,1, ,1,      1196.00,       963.00
N,N1,1040UCL27B,SEC RE NCD 10.40% SR III,      1000.00,       990.00,       990.00,       990.00,       990.00,                    49500.00,50, ,1,      1050.00,       850.00
N,N1,78ABCL33,ABCL 7.8% SR V,       899.00,      1001.00,      1008.00,      1001.00,      1008.00,                    23051.04,23, ,5,      1033.00,       899.00
N,N1,79NHIT35,SEC RE NCD 7.90% STRPP A,       311.10,       312.00,       312.00,       310.10,       311.24,                   129477.60,416, ,7,       319.00,       296.68
N,N1,IMC1,SEC RE NCGB 8.25% STRPP B,       257.00,       253.30,       253.30,       253.05,       253.24,                    10383.05,41, ,3,       260.55,       240.00
N,N1,SCL19325A,SCL SR III,       998.00,       985.00,       985.00,       985.00,       985.00,                    19700.00,20, ,3,       998.00,       830.20
N,N2,736PFCL28,7.36% TAX FREE NCD,      1079.00,      1079.00,      1079.00,      1079.00,      1079.00,                    38844.00,36, ,1,      1125.15,      1043.00
N,N2,764NABAR31,7.64% TAX FREE TRI SRIIB,      1115.98,      1117.35,      1118.00,      1110.01,      1117.30,                  1374608.55,1235, ,17,      1333.20,      1085.30
N,N2,79NHIT40,SEC RE NCD 7.90% STRPP B,       314.19,       309.00,       309.00,       308.00,       308.02,                   127831.50,415, ,6,       325.00,       295.89
N,N2,810IRFC27,BOND 8.10% PA TAX FREE S2,      1081.51,      1092.14,      1092.14,      1092.14,      1092.14,                    20750.66,19, ,1,      1150.00,      1045.06
N,N2,82HUDCO27,8.20 NCD05MAR27 FV 1000,      1058.00,      1065.00,      1065.99,      1065.00,      1065.99,                 29547390.69,27744, ,7,      1151.01,      1040.00
N,N2,830NHAI27,BOND 8.30% PA TAX FREE S2,      1103.00,      1101.00,      1101.00,      1098.30,      1100.00,                   117796.60,107, ,5,      1198.79,      1025.00
N,N2,91MOFSL27,SEC RE NCD 9.10% SR III,      1020.00,      1020.00,      1020.00,      1020.00,      1020.00,                    61200.00,60, ,1,      1087.99,       864.80
N,N2,957ISFL26,SEC RE NCD 9.57% SR 3,       985.50,       999.00,       999.00,       999.00,       999.00,                    49950.00,50, ,1,      1025.00,       950.00
N,N2,IMC1,SEC RE NCGB 8.25% STRPP C,       255.00,       255.00,       255.00,       255.00,       255.00,                    10455.00,41, ,2,       260.90,       207.00
N,N3,79NHIT47,SEC RE NCD 7.90% STRPP C,       421.00,       418.10,       420.00,       418.10,       418.43,                   251768.25,601, ,9,       439.00,       398.08
N,N3,932AEL27,SEC RE NCD 9.32% SR III,      1025.00,      1025.00,      1025.00,      1025.00,      1025.00,                   307500.00,300, ,2,      1055.00,       861.25
N,N3,IMC1,SEC RE NCGB 8.25% STRPP D,       251.05,       252.57,       252.57,       252.57,       252.57,                    10355.37,41, ,1,       269.00,       225.00
N,N3,M&MFIN,UNSECURED NCD,      2186.99,      2187.01,      2189.45,      2186.50,      2187.00,                  1331727.42,609, ,9,      2289.00,      1750.00
N,N4,1003ISFL28,SEC RE NCD 10.03% SR 5,       998.00,      1000.00,      1000.00,      1000.00,      1000.00,                    37000.00,37, ,2,      1010.00,       900.00
N,N4,10IIFL28,UNSEC RE NCD 10% SR.I,      1048.25,      1045.01,      1048.24,      1042.00,      1042.45,                   302583.55,290, ,8,      1048.50,       902.00
N,N4,965AEL27,SEC RE NCD 9.65% SR IV,      1075.00,      1075.01,      1075.90,      1075.00,      1075.00,                   603109.72,561, ,10,      1077.60,       960.00
N,N5,1050ISFL28,SEC RE NCD 10.50% SR 6,      1010.17,      1015.80,      1025.00,      1015.80,      1025.00,                   137541.00,135, ,7,      1075.25,       932.00
N,N5,10CAGL27,SEC RE NCD 10% SR. V,      1017.00,      1018.00,      1018.00,      1010.00,      1013.29,                   202658.90,200, ,12,      1038.00,       990.00
N,N5,830PFCL27,8.30% TAX FREE NCD,      1095.00,      1095.10,      1097.00,      1095.10,      1096.01,                   104169.54,95, ,4,      1145.00,      1035.35
N,N5,888ERFL28,SEC RED NCD 8.88% SR. V,       963.00,       944.00,       945.00,       944.00,       944.52,                    44393.28,47, ,3,       975.00,       895.20
N,N5,957NIDO26,SEC RED NCD 9.57% SR. V,       971.01,       960.00,       960.00,       953.80,       953.80,                    71597.00,75, ,2,      1015.00,       890.00
N,N5,96IIFL28,UNSEC RE NCD 9.60% SR.II,       971.98,       971.00,       974.49,       970.25,       974.49,                  1432748.34,1474, ,21,       989.10,       900.00
N,N6,1075NFL25,SEC RE NCD 10.75% SR.III,      1099.80,      1085.50,      1085.50,      1085.50,      1085.50,                     1085.50,1, ,1,      1105.00,       950.10
N,N6,10IIFL29,UNSEC RED NCD 10.0% SR. V,      1000.00,      1010.00,      1010.00,      1010.00,      1010.00,                    43430.00,43, ,1,      1161.00,       948.99
N,N6,10NIDO26,SEC RED NCD 10% SR. VI,      1073.00,      1077.00,      1079.80,      1077.00,      1079.80,                    63683.00,59, ,2,      1080.80,       952.00
N,N6,875NHAI29,8.75% TAX FREE TR I S IIB,      1152.00,      1152.10,      1152.10,      1143.00,      1147.00,                   849954.00,740, ,28,      1298.00,      1113.50
N,N6,891NTPC33,8.91%S-R-NCD SERIES 3B,      1270.00,      1271.50,      1272.10,      1271.10,      1272.10,                   158966.10,125, ,4,      1397.00,      1231.51
N,N6,892NHPC33,8.92% SEC RED BOND S3B,      1236.51,      1249.99,      1249.99,      1242.00,      1242.00,                   123741.02,99, ,3,      1399.00,      1210.00
N,N6,901NHB34,BOND 9.01%PA TF TR-I S 3B,      6425.00,      6499.00,      6500.00,      6404.30,      6425.00,                    77827.30,12, ,4,      7526.00,      6170.00
N,N6,93MOFSL34,SEC RE NCD 9.30% SR VII,      1058.00,      1043.01,      1043.01,      1043.01,      1043.01,                    10430.10,10, ,1,      1058.00,       971.00
N,N7,1050NFL26,SEC RE NCD 10.50% SR.IV,       971.00,      1009.00,      1009.00,      1009.00,      1009.00,                    10090.00,10, ,1,      1026.00,       897.99
N,N7,1050UCL25,SEC RED NCD 10.50% SR.III,       999.50,      1000.00,      1000.00,       980.10,       980.10,                   198587.10,200, ,2,      1199.00,       970.00
N,N7,105IIFL29,UNSEC RED NCD 10.5% SR.VI,      1007.00,      1015.00,      1050.00,      1015.00,      1050.00,                   122500.00,120, ,2,      1400.00,       902.00
N,N7,774IREDA31,7.74% TAX FREE NCD,      1127.46,      1126.10,      1128.00,      1126.10,      1128.00,                     3382.10,3, ,2,      1184.90,      1085.00
N,N7,890NHB34,NHB 8.90 NCD TR II SR 3 B,      6199.00,      6199.00,      6199.00,      6199.00,      6199.00,                   161174.00,26, ,1,      7499.00,      5808.00
N,N7,898LTF29,SERENCD 8.98% SR.VI OP2,      1049.00,      1046.01,      1079.90,      1046.00,      1073.79,                   862848.10,819, ,13,      1139.90,      1020.00
N,N7,99AEL29,SEC RE NCD 9.90% SR VII,      1163.90,      1080.01,      1091.06,      1080.01,      1091.06,                     7621.12,7, ,3,      1165.00,       975.00
