"Security Name","Symbol Name","Trade Date","Quantity"
"SHREE CEMENTS LTD","SHREECEM","25-Jun-2025","1"
"MUTHOOT FINANCE LIMITED","MUTHOOTFIN","25-Jun-2025","1"
"JK LAKSHMI CEMENT LTD    ","JKLAKSHMI","25-Jun-2025","92"
"TITAGARH RAIL SYSTEMS","TITAGARH","25-Jun-2025","325"
"HCL TECHNOLOGIES LTD","HCLTECH","25-Jun-2025","1"
"IDEA CELLULAR LIMITED","IDEA","25-Jun-2025","38011"
"ZYDUS LIFESCIENCES","ZYDUSLIFE","25-Jun-2025","20"
"THE INDIA CEMENTS LIMITED","INDIACEM","25-Jun-2025","355"
"SHIPPING CORP OF INDIA LT","SCI","25-Jun-2025","1"
"TATA STEEL LIMITED","TATASTEEL","25-Jun-2025","200"
"TVS MOTOR COMPANY  LTD","TVSMOTOR","25-Jun-2025","20"
"TATA TELESERV(MAHARASTRA)","TTML","25-Jun-2025","3"
"EXIDE INDUSTRIES LTD","EXIDEIND","25-Jun-2025","6"
"PAGE INDUSTRIES LTD","PAGEIND","25-Jun-2025","49"
"BLUE STAR LIMITED","BLUESTARCO","25-Jun-2025","23400"
"ENDURANCE TECHNOLOGIES LIMITED","ENDURANCE","25-Jun-2025","700"
"TRENT LIMITED","TRENT","25-Jun-2025","20"
"RVNL","RVNL","25-Jun-2025","122375"
"KAYNES TECHNOLOGY IND LTD","KAYNES","25-Jun-2025","1"
"SEPC LIMITED","SEPC","25-Jun-2025","119584"
"BIRLASOFT LIMITED","BSOFT","25-Jun-2025","2"
"BHARAT ELECTRONICS LTD","BEL","25-Jun-2025","100"
"IFCI LTD","IFCI","25-Jun-2025","2500"
"TITAN INDUSTRIES LTD","TITAN","25-Jun-2025","95"
"INFO EDGE (I) LTD","NAUKRI","25-Jun-2025","3"
"NETWORK 18 FINCAP LTD.","NETWORK18","25-Jun-2025","1"
"JUBILANT FOODWORKS LTD","JUBLFOOD","25-Jun-2025","300"
"ASTRAL POLY TECHNIK LIMITED","ASTRAL","25-Jun-2025","5950"
"AMBER ENTERPRISES (I) LTD","AMBER","25-Jun-2025","10"
"MAX HEALTHCARE INS LTD","MAXHEALTH","25-Jun-2025","325"
"NATIONAL BUILDINGS LTD   ","NBCC","25-Jun-2025","1000"
"RBL BANK LIMITED    ","RBLBANK","25-Jun-2025","2"
"ETERNAL LIMITED","ETERNAL","25-Jun-2025","1"
"DELHIVERY LIMITED","DELHIVERY","25-Jun-2025","3101"
"APOLLO MICRO SYSTEMS LTD","APOLLO","25-Jun-2025","1500"
"RELIANCE INDUSTRIES LTD","RELIANCE","25-Jun-2025","16"
"YES BANK LIMITED","YESBANK","25-Jun-2025","30"
"MULTI COMMODITY EXCHANGE OF INDIA LIMITED","MCX","25-Jun-2025","558"
"THE RAMCO CEMENTS LIMITED","RAMCOCEM","25-Jun-2025","10"
"TATA ELXSI LIMITED       ","TATAELXSI","25-Jun-2025","700"
"THE PHOENIX MILLS LIMITED","PHOENIXLTD","25-Jun-2025","467"
"INDUS","INDUSTOWER","25-Jun-2025","50"
"NORTHERN ARC CAPITAL LTD","NORTHARC","25-Jun-2025","8"
"BHARTI AIRTEL LIMITED","BHARTIARTL","25-Jun-2025","10"
"HERO MOTOCORP LTD","HEROMOTOCO","25-Jun-2025","324"
"AU SMALL FINANCE BANK LIMITED","AUBANK","25-Jun-2025","219"
"KEI INDUSTRIES LTD.      ","KEI","25-Jun-2025","400"
"HOUSING & URBAN DEVELOPMENT CORPORATION LIMITED","HUDCO","25-Jun-2025","1011"
"KNR CONSTRU LTD","KNRCON","25-Jun-2025","50"
"MAZAGON DOCK SHIPBUIL LTD","MAZDOCK","25-Jun-2025","20"
"L&T FINANCE LIMITED","LTF","25-Jun-2025","1100"
"BAJAJ CONSUMER CARE LTD","BAJAJCON","25-Jun-2025","4990"
"IDEAFORGE TECHNO LTD","IDEAFORGE","25-Jun-2025","30"
"JIO FIN SERVICES LTD","JIOFIN","25-Jun-2025","108"
"GRASIM INDUSTRIES LTD","GRASIM","25-Jun-2025","5"
"HINDALCO  INDUSTRIES  LTD","HINDALCO","25-Jun-2025","64"
"MAHANAGAR TELEPHONE NIGAM","MTNL","25-Jun-2025","19"
"PUNJAB NATIONAL BANK","PNB","25-Jun-2025","1000"
"BRITANNIA INDUSTRIES LIMITED","BRITANNIA","25-Jun-2025","11"
"EICHER MOTORS LIMITED","EICHERMOT","25-Jun-2025","7"
"UPL LIMITED","UPL","25-Jun-2025","8"
"MAX FINANCIAL SERV LTD","MFSL","25-Jun-2025","705"
"CGCL","CGCL","25-Jun-2025","1"
"IRCON","IRCON","25-Jun-2025","100"
"HINDUSTAN UNILEVER LTD.","HINDUNILVR","25-Jun-2025","10"
"HYUNDAI MOTOR INDIA LTD","HYUNDAI","25-Jun-2025","50"
"WAAREE ENERGIES LIMITED","WAAREEENER","25-Jun-2025","1900"
"ITC LTD","ITC","25-Jun-2025","20"
"MAHINDRA & MAHINDRA LTD","M&M","25-Jun-2025","56"
"PIDILITE INDUSTRIES LIMITED","PIDILITIND","25-Jun-2025","10"
"TEXMACO RAIL & ENG. LTD. ","TEXRAIL","25-Jun-2025","1"
"SRF LTD","SRF","25-Jun-2025","55"
"SWIGGY LIMITED","SWIGGY","25-Jun-2025","50"
