Symbol,Series,Name,Band,Remarks
ABHAPOWER,ST,Abha Power and Steel Limited,2,"-"
ABSMARINE,ST,ABS Marine Services Limited,2,"-"
AGNI,ST,Agni Green Power Limited,2,"-"
ASLIND,ST,ASL Industries Limited,2,"-"
BASILIC,ST,Basilic Fly Studio Limited,2,"-"
C2C,ST,C2C Advanced Systems Limited,2,"-"
CRAYONS,ST,Crayons Advertising Limited,2,"-"
DESTINY,ST,DESTINY LOGISTICS & INFRA LIMITED,2,"-"
DIVINEHIRA,ST,Divine Hira Jewellers Limited,2,"-"
DPEL,ST,Divine Power Energy Limited,2,"-"
DRL,ST,Dhanuka Realty Limited,2,"-"
EFORCE,ST,Electro Force (India) Limited,2,"-"
ENSER,ST,ENSER COMMUNICATIONS LIMITED,2,"-"
ESCONET,ST,Esconet Technologies Limited,2,"-"
GSTL,ST,Globesecure Technologies Limited,2,"-"
HPTL,ST,HP Telecom India Limited,2,"-"
HRHNEXT,ST,HRH Next Services Limited,2,"-"
IEML,ST,Indian Emulsifiers Limited,2,"-"
INNOMET,ST,Innomet Advanced Materials Limited,2,"-"
IPHL,ST,Indian Phosphate Limited,2,"-"
ITTL,ST,Innovative Tyres & Tubes Limited,2,"-"
JIWANRAM,ST,Jiwanram Sheoduttrai Industries Limited,2,"-"
KCEIL,ST,Kay Cee Energy & Infra Limited,2,"-"
KEN,ST,Ken Enterprises Limited,2,"-"
KOTYARK,ST,Kotyark Industries Limited,2,"-"
LAWSIKHO,ST,Addictive Learning Technology Limited,2,"-"
LRRPL,ST,Lead Reclaim And Rubber Products Limited,2,"-"
MAGSON,ST,Magson Retail And Distribution Limited,2,"-"
MAKS,ST,Maks Energy Solutions India Limited,2,"-"
MAL,ST,Mangalam Alloys Limited,2,"-"
MASON,ST,Mason Infratech Limited,2,"-"
MEDIORG,ST,Medicamen Organics Limited,2,"-"
MVKAGRO,ST,M.V.K. Agro Food Product Limited,2,"-"
NAMAN,ST,Naman In-Store (India) Limited,2,"-"
NMSTEEL,ST,Newmalayalam Steel Limited,2,"-"
ONDOOR,ST,On Door Concepts Limited,2,"-"
OWAIS,ST,Owais Metal And Mineral Processing Limited,2,"-"
PARAMOUNT,ST,Paramount Dye Tec Limited,2,"-"
PHOGLOBAL,ST,Phoenix Overseas Limited,2,"-"
POLYSIL,ST,Polysil Irrigation Systems Limited,2,"-"
PRECISION,ST,Precision Metaliks Limited,2,"-"
PURPLEUTED,ST,Purple United Sales Limited,2,"-"
QUICKTOUCH,ST,Quicktouch Technologies Limited,2,"-"
QVCEL,ST,QVC Exports Limited,2,"-"
RBMINFRA,ST,Rbm Infracon Limited,2,"-"
READYMIX,ST,Readymix Construction Machinery Limited,2,"-"
REXPIPES,ST,Rex Pipes And Cables Industries Limited,2,"-"
ROCKINGDCE,ST,Rockingdeals Circular Economy Limited,2,"-"
ROXHITECH,ST,Rox Hi Tech Limited,2,"-"
SADHAV,ST,Sadhav Shipping Limited,2,"-"
SAHAJ,ST,Sahaj Fashions Limited,2,"-"
SAIFL,ST,Sameera Agro And Infra Limited,2,"-"
SATIPOLY,ST,Sati Poly Plast Limited,2,"-"
SECL,ST,Salasar Exteriors And Contour Limited,2,"-"
SHANTHALA,ST,Shanthala FMCG Products Limited,2,"-"
SHEETAL,ST,Sheetal Universal Limited,2,"-"
SHIGAN,ST,Shigan Quantum Technologies Limited,2,"-"
SOLEX,ST,Solex Energy Limited,2,"-"
SUPREMEPWR,ST,Supreme Power Equipment Limited,2,"-"
SYNOPTICS,ST,Synoptics Technologies Limited,2,"-"
TANKUP,ST,Tankup Engineers Limited,2,"-"
TBI,ST,TBI Corn Limited,2,"-"
TECHLABS,ST,TRIDENT TECHLABS LIMITED,2,"-"
TRUST,ST,Trust Fintech Limited,2,"-"
VERTEXPLUS,ST,Vertexplus Technologies Limited,2,"-"
VILINBIO,ST,Vilin Bio Med Limited,2,"-"
YUDIZ,ST,Yudiz Solutions Limited,2,"-"
ZTECH,ST,Z-Tech (India) Limited,2,"-"
ACCORD,SM,Accord Synergy Limited,5,"-"
AESTHETIK,ST,Aesthetik Engineers Limited,5,"-"
AGARWALFT,SM,Agarwal Float Glass India Limited,5,"-"
